"<ID>";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: du";"Det =: un-de Dnum Nmes";"N0 être d'un certain N";"N0 être de Det N Modif";"N0 être de N Modif";"il y avoir Det N Loc N0";"N0 avoir le N de V0-inf W";"Exemple Base1";"Exemple Base2";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";"Exemple Autre5";"Exemple Autre6";"Exemple Autre7";"Exemple Autre8"
"16";"allant";"+";"-";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"(Max+Ce morceau) a de l'allant";"~";"~";"~";"~";"~"
"17";"allure";"+";"+";"-";"-";"+";"+";"+";"-";"-";"Cette voiture a une allure rapide";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"18";"allure";"+";"+";"+";"-";"-";"-";"-";"-";"-";"(Max+Cette maison) a une (belle allure+allure bizarre)";"~";"~";"~";"(Max+Ceci) a de l'allure";"~";"~";"~";"~";"Max a des allures (de crapule+de grand seigneur)"
"19";"altitude";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"L'avion (a+prend+perd) de l'altitude";"Le Mont Blanc a une altitude de 1807 mètres";"~";"~";"~";"~"
"20";"ambiance";"-";"+";"+";"-";"+";"+";"-";"+";"-";"La soirée avait une ambiance";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"21";"amour-propre";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~";"~";"~";"Max a (de l'amour-propre+eu l'amour-propre de refuser cette compromission)";"~";"~";"~";"~";"~"
"22";"amplitude";"-";"+";"-";"+";"+";"+";"+";"-";"-";"Cette oscillation a une certaine amplitude";"~";"~";"~";"~";"Cette oscillation a une certaine amplitude de 5 cm";"~";"~";"~";"~"
"23";"animalité";"+";"-";"-";"-";"+";"+";"-";"+";"-";"~";"Max est d'une certaine animalité";"~";"~";"~";"~";"~";"~";"~";"~"
"24";"aperture";"-";"+";"-";"-";"+";"+";"+";"-";"-";"Cette voyelle a une aperture maximale";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"25";"apesanteur";"+";"+";"-";"-";"+";"+";"-";"-";"-";"Ce corps a une certaine apesanteur";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"26";"aplomb";"-";"+";"+";"-";"+";"+";"-";"-";"-";"Ce mur a un aplomb incertain";"~";"~";"Le mur (est+tombe) d'aplomb";"~";"~";"~";"~";"~";"~"
"27";"aplomb";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"Max est d'un certain aplomb";"~";"~";"Max a de l'aplomb";"~";"~";"~";"~";"~"
"28";"apparat";"-";"+";"-";"-";"+";"+";"-";"+";"-";"Ce dîner a un certain apparat";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"29";"apparence";"+";"+";"-";"-";"+";"+";"+";"-";"-";"(Max a une apparence gaie+La maison a une apparence misérable)";"~";"Max est d'une apparence gaie";"Max est d'apparence gaie";"~";"~";"~";"~";"~";"Max a une certaine apparence de liberté"
"30";"apparence";"+";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"(Max+Cette Maison) a de l'apparence";"~";"~";"~";"~";"~"
"31";"apprêt";"-";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"Il y a un certain apprêt dans les manières";"~";"~"
"32";"apriorisme";"+";"+";"-";"-";"+";"+";"-";"+";"-";"Max a un certain apriorisme";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"33";"architecture";"-";"+";"-";"-";"+";"+";"+";"-";"-";"(Le monument+Ce roman) a une architecture majestueuse";"~";"(Le monument+Ce roman) est d'une architecture majestueuse";"~";"~";"~";"~";"~";"~";"~"
"34";"arithmétique";"-";"+";"-";"-";"+";"-";"-";"+";"-";"Les comptes (de Luc+de ce parti) ont une arithmétique particulière";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"35";"arôme";"-";"+";"+";"-";"+";"+";"-";"-";"-";"Ce plat a un arôme raffiné";"~";"Ce plat est d'un arôme raffiné";"~";"~";"~";"~";"~";"~";"~"
"36";"art";"-";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~";"(Cet objet+Ce repas) est d'un art (*E+raffiné)";"~";"~";"~";"~";"~";"~";"~"
"37";"aspect";"+";"+";"-";"-";"+";"+";"+";"-";"-";"(Max a un aspect bizarre+Ce papier a un aspect rugueux)";"~";"Max est d'un aspect bizarre";"~";"~";"~";"~";"~";"~";"~"
"38";"assurance";"+";"-";"+";"-";"+";"+";"-";"-";"+";"(Luc+Cette demande) a une certaine assurance";"(Luc+Cette demande) est d'une certaine assurance";"~";"~";"~";"~";"~";"~";"(Luc est assuré+Cette demande est assurée) ";"~"
"39";"atmosphère";"-";"+";"-";"-";"+";"+";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"Il y a une atmosphère de vacances dans (ce filue+cette maison)";"~";"~"
"40";"attitude";"+";"-";"-";"-";"-";"+";"-";"-";"-";"Max a une attitude figée";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"41";"avenir";"+";"+";"+";"-";"-";"-";"-";"-";"-";"Max a un (bel+incertain) avenir en informatique";"~";"~";"~";"(Max+Cette technique) a de l'avenir";"~";"~";"~";"~";"L'avenir de Luc est incertain"
"42";"avenir";"-";"+";"-";"-";"+";"+";"+";"-";"-";"L'électronique est une carrière d'avenir";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"43";"bienséance";"-";"+";"+";"-";"+";"+";"-";"-";"-";"Ce comportement a une certaine bienséance";"Ce comportement est d'une certaine bienséance";"~";"~";"~";"~";"~";"~";"~";"~"
"44";"bipolarité";"-";"+";"-";"-";"+";"+";"-";"+";"-";"Cet armant a une bipolarité";"~";"~";"~";"~";"~";"~";"Il y a une bipolarité entre ces molécules";"~";"~"
"45";"bonheur";"-";"+";"-";"-";"-";"+";"-";"-";"-";"~";"Cette façade est d'un certain bonheur (E+dans ce cadre)";"~";"~";"~";"~";"~";"~";"~";"~"
"46";"bonhommie";"+";"-";"+";"-";"+";"+";"-";"+";"+";"(Luc+Cette manière de faire) a une certaine bonhomie";"(Luc+Cette manière de faire) est d'une certaine bonhommie";"~";"~";"~";"~";"~";"~";"~";"~"
"47";"bouquet";"-";"+";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"Ce vin a du bouquet";"~";"~";"~";"~";"~"
"48";"brillant";"+";"+";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"Cet acier a du brillant";"~";"~";"~";"~";"~"
"49";"brio";"+";"-";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"(Cette étude+Ce pianiste) a du brio";"~";"~";"~";"~";"~"
"50";"cachet";"-";"+";"+";"-";"+";"+";"-";"-";"-";"Ce village a un certain cachet";"~";"~";"~";"~";"~";"~";"Il y a un certain cachet à ce village";"~";"~"
"51";"cadence";"-";"+";"+";"+";"-";"+";"-";"+";"-";"~";"~";"Le débit de Max est d'une cadence accélérée";"~";"~";"~";"~";"Il y a une certaine cadence dans le débit de Max";"~";"~"
"52";"calibre";"-";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~";"~";"Ces tuyaux sont de ce calibre";"~";"Ces tuyaux ont un calibre de 10 cm";"~";"~";"~";"~"
"53";"calibre";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"Cet homme est d'un autre calibre";"~";"~";"~";"~";"~";"~";"~"
"54";"calligraphie";"+";"-";"-";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"55";"calligraphie";"-";"+";"-";"-";"-";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"56";"cambrure";"-";"+";"+";"-";"+";"+";"-";"-";"-";"Le pied de Léa a une cambrure remarquable";"~";"Le pied de Léa est d'une cambrure remarquable";"~";"~";"~";"~";"~";"~";"~"
"57";"capacité";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"Ce tonneau a une capacité de 100hl";"~";"~";"~";"~"
"58";"caractère";"+";"+";"-";"-";"+";"+";"+";"-";"-";"Max a un (bon+mauvais) caractère";"~";"~";"~";"~";"~";"Max a (bon+mauvais) caractère";"~";"~";"~"
"59";"caractère";"+";"+";"+";"-";"-";"-";"-";"-";"-";"Max a du caractère";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"60";"carence";"-";"+";"-";"-";"+";"+";"-";"+";"-";"Le gouvernement a des carences condamnable";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"61";"carnation";"-";"+";"-";"-";"+";"+";"+";"-";"-";"Marie a une belle carnation";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"62";"carrure";"+";"-";"+";"-";"+";"+";"+";"-";"+";"Max a une certaine carrure";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"63";"catégorie";"+";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"64";"cautèle";"+";"-";"-";"-";"+";"+";"+";"+";"-";"Max a une cautèle insupportable";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"65";"cécité";"+";"-";"-";"-";"+";"+";"-";"+";"-";"Max a une cécité (E+précoce+définitive)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"66";"célérité";"+";"-";"+";"-";"+";"+";"-";"+";"-";"(Max a une certaine célérité dans son travail+Les gens ont une certaine célérité)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"67";"chair";"+";"+";"+";"-";"-";"+";"+";"-";"-";"Max a des chairs (E+bouffies)";"~";"~";"Max est le chair de la chair de Marie";"~";"~";"Max a la chair (E+ferme+épanouie)";"~";"~";"~"
"68";"charisme";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Max a un certain charisme";"Max est d'un certain charisme";"~";"~";"~";"~";"~";"~";"~";"~"
"69";"charme";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Ida a un certain charme";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"70";"chic";"+";"+";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"(Marie+Ce chapeau) a du chic";"~";"~";"~";"~";"~"
"71";"chorégraphie";"-";"+";"-";"-";"+";"+";"+";"-";"-";"(Ce ballet a une chorégraphie+Le déplacement des officiels a une chorégraphie très étudiée)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"72";"chronologie";"-";"+";"-";"-";"-";"+";"+";"+";"-";"(Ces événements+La révolution) a une certain chronologie";"~";"~";"~";"~";"~";"~";"Il y a une certaine chronologie dans (ces événements+la révolution)";"~";"~"
"73";"circonférence";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"Le camp a une circonférence de 5 km";"~";"~";"~";"~"
"74";"citoyenneté";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~";"~";"Max a la citoyenneté française";"~";"~";"~"
"75";"classe";"+";"+";"-";"-";"+";"+";"-";"+";"-";"~";"~";"~";"(Max+Ce verbe) est de belle classe";"~";"~";"~";"~";"~";"~"
"76";"classe";"+";"+";"+";"-";"-";"+";"+";"-";"+";"Servir de la vodka avec le caviar, cela, a de la classe";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"77";"climat";"-";"+";"-";"-";"+";"+";"+";"+";"-";"Ce pays a un certain climat";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"78";"clinquant";"-";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"Ce mobilier a du clinquant";"~";"~";"~";"~";"~"
"79";"coefficient";"-";"+";"-";"+";"+";"+";"-";"-";"-";"Les maths ont un coefficient de tant";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"80";"coloration";"-";"+";"-";"-";"+";"+";"-";"+";"-";"((Ce vin+La peau de Max) a une jolie coloration+Ce récit a une décoration particulière)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"81";"coloris";"-";"+";"-";"-";"+";"+";"+";"-";"-";"(Ce tissu a un jolie coloris+Ce style a un certain coloris)";"~";"Ce tissu est d'un jolie coloris";"~";"~";"~";"~";"~";"~";"~"
"82";"combinatoire";"-";"+";"-";"-";"+";"+";"-";"+";"-";"Les phonèmes ont une combinatoire";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"83";"complexion";"+";"-";"-";"-";"-";"+";"+";"-";"-";"(Max a une robuste complexion+Léa a une complexion cuivrée)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"84";"componction";"+";"-";"+";"-";"+";"+";"-";"-";"-";"(Max+Sa manière de faire ceci) a une certaine componction";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"85";"comportement";"+";"-";"-";"-";"-";"+";"+";"-";"-";"(Max a un comportement gentil envers Luc+Cette voiture a un comportement très sûr)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"86";"condition";"+";"-";"-";"-";"+";"+";"+";"-";"-";"Max a une condition modeste";"~";"Max est d'une condition modeste";"~";"~";"~";"~";"~";"~";"~"
"87";"conduite";"+";"-";"-";"-";"+";"+";"+";"-";"-";"Cet enfant a une conduite exemplaire";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"88";"confession";"+";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~";"~";"Max est de confession israélite";"~";"~";"~";"~";"~";"~"
"89";"configuration";"-";"+";"-";"-";"+";"+";"+";"-";"-";"(Ce système a une certaine configuration+Ce jardin a une configuration bizarre)";"~";"Ce jardin est d'une configuration bizarre";"~";"~";"~";"~";"~";"~";"~"
"90";"conformation";"+";"+";"-";"-";"+";"+";"+";"-";"-";"Max a une bonne conformation";"~";"~";"~";"~";"~";"~";"~";"Max est bien conformé";"~"
"91";"connotation";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"92";"consonance";"-";"+";"-";"-";"+";"+";"+";"+";"-";"Ce mot a (une consonance bizarre+des consonances bizarres)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"93";"constitution";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Max a une bonne constitution";"~";"Max est d'une bonne constitution";"~";"~";"~";"~";"~";"~";"~"
"94";"construction";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Ce pont a une construction (*E+élégante)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"95";"contact";"-";"+";"-";"-";"-";"+";"-";"-";"-";"Ce tissu a un contact (*E+agréable)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"96";"contenance";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"Ce flacon a une contenance de 1 litre";"~";"~";"~";"~"
"97";"contexture";"-";"+";"-";"-";"+";"+";"+";"-";"-";"(Ce lampas+Cette étoffe) a une contexture compliquée";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"98";"contour";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Les lèves de Marie a un contour harmonieux ";"~";"Les lèves de Marie est d'un contour harmonieux ";"~";"~";"~";"~";"~";"~";"~"
"99";"contraction";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Max a une certaine contraction sur scène";"Max est d'une certaine contraction sur scène";"~";"~";"~";"~";"~";"~";"~";"~"
"100";"corps";"-";"+";"+";"-";"-";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"101";"corps";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"102";"cote";"-";"+";"-";"+";"+";"+";"-";"-";"-";"~";"~";"~";"Ce titre est coté mille francs";"~";"(Ce cheval a une cote de 10 contre un+Ce titre a une cote de mille francs)";"~";"~";"~";"~"
"103";"couleur";"-";"+";"+";"-";"+";"+";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"104";"coupant";"-";"+";"+";"-";"+";"+";"-";"-";"-";"Cette lame a un certain coupant";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"105";"coupe";"-";"+";"-";"-";"+";"+";"+";"-";"-";"Ce vêtement a une bonne coupe";"~";"Ce vêtement est d'une bonne coupe";"Ce vêtement est de bonne coupe";"~";"~";"~";"~";"~";"~"
"106";"cours";"-";"+";"-";"+";"+";"+";"-";"-";"-";"Le fleuve a un cours (*E+de 1000 km)";"~";"~";"~";"~";"Le fleuve a un cours de 1000 km";"~";"~";"~";"~"
"107";"cours";"-";"+";"-";"+";"-";"-";"-";"-";"-";"Cette valeur a un cours fluctuant";"~";"~";"~";"~";"Cette valeur a un cours de 1000 francs";"~";"~";"~";"~"
"108";"coût";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~";"Ces réparateurs sont d'un coût élevé pour (le vendeur+l'acheteur)";"~";"~";"~";"~";"~";"~";"~"
"109";"cran";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~";"~";"~";"Max a du cran";"~";"Max a le cran de dire « non »";"~";"~";"~"
"110";"cubage";"-";"+";"-";"+";"+";"+";"-";"-";"-";"~";"~";"Le fût est d'un cubage de 300 litres";"~";"~";"Ce fût a un cubage de 300 litres";"~";"~";"~";"~"
"111";"culture";"-";"+";"-";"-";"-";"-";"+";"+";"-";"Ce pays a une vieille culture";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"112";"culture";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"113";"dandysme";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Max a un certain dandysme";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"114";"datation";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Ce vase a une datation";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"115";"date";"-";"+";"-";"-";"-";"+";"+";"+";"-";"Cet événement a une date";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"116";"débit";"-";"+";"+";"+";"+";"+";"+";"-";"-";"ce fleuve a un débit (*E+faible)";"~";"~";"~";"~";"Le tuyau a un débit de cent litres d'eau à l'heure";"~";"~";"~";"~"
"117";"décharnement";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Son visage a un certain décharnement";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"118";"décontraction";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"119";"décor";"-";"+";"-";"-";"-";"+";"-";"+";"-";"(Ce palais+Cet opéra) a un magnifique décor de colonnades";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"120";"dégaine";"+";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"121";"délié";"-";"+";"-";"-";"+";"+";"-";"+";"-";"Ses gestes ont un délié ravisant";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"122";"démarrage";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Cette voiture a un démarrage difficile";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"123";"démesure";"-";"+";"+";"-";"+";"+";"-";"+";"-";"Les décisions de Max ont une certaine démesure";"~";"~";"~";"~";"~";"~";"Il y a de la démesure à rebâtir le Louvre)";"~";"~"
"124";"démesure";"+";"-";"+";"-";"+";"+";"-";"-";"+";"Ce bâtiment a une certaine démesure";"~";"~";"~";"~";"~";"~";"~";"Ce bâtiment est mesuré";"~"
"125";"densité";"-";"+";"+";"-";"+";"+";"+";"-";"-";"(Ce texte+Le brouillard) a une certaine densité";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"126";"dépravation";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Max a une certaine dépravation ";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"127";"design";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Cette lampe a un désigne audacieux";"~";"Cette lampe est d'un désigne audacieux";"~";"~";"~";"~";"~";"~";"~"
"128";"désintéressement";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~";"Max est d'un désintéressement certain";"~";"~";"~";"~";"Il y a eu le désintéressement de ne pas demander l'argent)";"~";"~"
"129";"dessin";"-";"+";"-";"-";"+";"+";"-";"-";"-";"Cette robe a un dessin audacieux";"~";"~";"~";"~";"~";"~";"~";"Cette robe est dessinée audacieusement";"~"
"130";"détente";"+";"+";"+";"-";"-";"+";"-";"-";"-";"Ce ressort a une détente";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"131";"détermination";"+";"-";"-";"-";"+";"+";"-";"-";"+";"Paul a de la détermination";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"132";"diamètre";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"Ce cercle a un diamètre de 5 cm";"~";"~";"~";"~"
"133";"dimension";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Max a une certaine dimension (*E+dans la vie politique)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"134";"dimension";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"Cette pièce a de bonnes dimensions";"~";"Cette pièce est bien dimensionnée";"~"
"135";"discernement";"+";"-";"+";"-";"-";"+";"-";"-";"+";"~";"~";"~";"~";"Max a du discernement";"~";"~";"~";"~";"~"
"136";"dissipation";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Max a une certaine dissipation";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"137";"durée";"-";"+";"+";"+";"+";"+";"+";"-";"-";"Les vacances ont une durée limitée";"~";"Les vacances sont d'une durée limitée";"~";"~";"~";"~";"~";"~";"~"
"138";"éclat";"+";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"(Léa+Ce style+Cette couleur) a de l'éclat";"~";"~";"~";"~";"~"
"139";"économie";"-";"+";"-";"-";"-";"+";"-";"-";"-";"Ce procédé a une certaine économie";"Ce procédé est d'une certaine économie";"~";"~";"~";"~";"~";"~";"~";"~"
"140";"écriture";"-";"+";"-";"-";"+";"+";"+";"-";"-";"Ce roman a une écriture sophistiquée";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"141";"éducation";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"Léa a de l'éducation";"~";"~";"~";"~";"~"
"142";"effectif";"-";"+";"-";"+";"+";"+";"+";"+";"-";"Cette unité a un effectif (E+important)";"~";"~";"~";"~";"Cette unité a un effectif de 1000 hommes";"~";"~";"~";"~"
"143";"effet";"-";"+";"-";"-";"-";"-";"-";"+";"-";"Ce ruban a un effet douteux";"Ce ruban est d'un effet douteux";"~";"~";"~";"~";"~";"~";"~";"~"
"144";"émaciation";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Max a une certaine émaciation";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"145";"emploi";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Ce mot a un (emploi rare+certain emploi)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"146";"emportement";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Max a un certain emportement (E+(contre+à l'égard de) Léa)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"147";"énergie";"-";"+";"-";"+";"+";"+";"-";"-";"-";"Ce corps a une (E+certaine) énergie";"~";"~";"~";"~";"Ce mouvement a une énergie de 200 kw";"~";"~";"~";"~"
"148";"enflure";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Ce style a une certaine enflure";"~";"~";"~";"Le style de Max a de l'enflure";"~";"~";"~";"~";"~"
"149";"enjouement";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Max a un certain enjouement";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"150";"enneigement";"-";"+";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"Les pistes ont un enneigement de 3 mètres";"~";"~";"~";"~"
"151";"entrain";"+";"-";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"Max a de l'entrain à danser";"~";"~";"~";"~";"~"
"152";"envergure";"-";"+";"-";"+";"+";"+";"+";"-";"-";"Cet oiseau a une envergure de 1er";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"153";"envergure";"+";"-";"+";"-";"+";"+";"-";"-";"+";"Max a eu l'envergure";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"154";"esprit";"+";"-";"+";"-";"-";"+";"+";"+";"+";"~";"~";"~";"~";"Max a de l'esprit";"~";"~";"~";"~";"~"
"155";"essence";"+";"+";"-";"-";"+";"+";"+";"-";"-";"Les choses ont une certaine essence";"Les choses sont d'une certaine essence";"Le travail est d'une essence collective";"~";"~";"~";"~";"~";"~";"~"
"156";"esthétique";"-";"+";"-";"-";"+";"+";"+";"+";"-";"Ce monument a une esthétique archaïsante";"~";"~";"~";"~";"~";"~";"~";"~";"~"
